movie_id,domestic_opening,domestic_revenue,international_revenue,budget
tt0068646,302393,136381073,113960911,6000000
tt0111161,727327,28767189,541480,25000000
tt0108052,656636,96898818,225262427,22000000
tt0120737,47211490,319372078,568180418,93000000
tt0110912,9311882,107928762,106000000,8000000
tt0109830,24450602,330455270,347771195,55000000
tt0167261,62007528,345518923,592102354,94000000
tt0167260,72629713,381878219,755990678,94000000
tt0080684,4910483,292753960,257262126,18000000
tt0137523,11035485,37030102,64285678,63000000
tt0468569,158411483,534987076,474016819,185000000
tt0114369,13949807,100125643,227207916,33000000
tt1375666,62785337,292587330,546443300,160000000
tt0133093,27788331,172076928,295359711,63000000
tt0816692,47510360,188020017,544101558,165000000
tt0102926,13766814,130742922,142000000,19000000
tt0120689,18017152,136801374,150000000,60000000
tt0120815,30576104,217049603,265300000,70000000
tt0103064,31765506,205881154,311897419,102000000
tt0076759,1554475,460998507,314400000,11000000
tt0088763,11152500,214077472,170500000,19000000
tt0253474,111261,32590750,87500000,35000000
tt6751668,393216,53369749,208749363,11400000
tt0172495,34819017,187705427,277801273,103000000
tt0110357,1586753,424979720,556489676,45000000
tt0120586,156076,6719864,17155263,20000000
tt0407887,26887467,132399394,159081058,90000000
tt2582802,135388,14003391,36348474,3300000
tt0482571,14801808,53089891,56586420,40000000
tt0114814,645363,23341568,23341568,6000000
tt0078748,3527881,84206106,24404125,11000000
tt0209144,235488,25544867,14502211,9000000
tt1853728,30122888,162805434,263268939,100000000
tt0405094,223000,11286112,66386039,2000000
tt0082971,8305823,248159971,141766000,18000000
tt0910970,63087526,223808164,303586398,180000000
tt4633694,35363376,190241310,203361125,90000000
tt0081505,622337,45634352,2322392,19000000
tt0361748,38054676,120540719,200918879,70000000
tt4154796,357115007,858373000,1941066100,356000000
tt0169547,861531,130096601,226200000,15000000
tt1345836,160887295,448149584,666805703,250000000
tt0112573,9938276,75609945,137606271,72000000
tt7286456,96202337,335477657,743480625,55000000
tt0086190,23019618,316566101,165900281,32500000
tt0338013,8175198,34400301,38988867,20000000
tt0105236,147839,2832029,81615,1200000
tt1255953,50679,2071334,4726527,6800000
tt0435761,110307189,415004880,652311221,200000000
tt0093058,2217307,46357676,3826762,30000000
tt0211915,136470,33712444,141317403,10000000
tt0097576,29355021,197171806,277000000,48000000
tt0095016,601851,85892546,57759104,28000000
tt1049413,68108790,293004164,442094938,175000000
tt8579674,576216,159227644,286836708,95000000
tt0993846,18361578,116900694,289977539,100000000
tt0469494,190739,40222514,35964359,25000000
tt1130884,41062440,128012934,166884589,80000000
tt0107290,47026828,407185075,697151153,63000000
tt6966692,320429,85080171,236672485,23000000
tt0167404,26681262,293506292,379300140,40000000
tt0457430,568641,37646380,46215652,19000000
tt0372784,48745440,206863479,168514611,150000000
tt0268978,367151,170742341,146048916,58000000
tt0266543,70251710,380843261,560794699,94000000
tt0266697,22200000,70099045,110807031,30000000
tt1392214,20817053,61002302,61124385,46000000
tt2096673,90440272,356461711,502609564,175000000
tt0264464,30053627,164615351,187498961,52000000
tt0116282,730265,24611975,36000000,7000000
tt0434409,25642340,70511035,64175422,54000000
tt1291584,5242107,13657115,9651500,25000000
tt1205489,271720,148095302,121862926,33000000
tt0405159,179953,100492203,116271443,30000000
tt2024544,923715,56671993,131061209,20000000
tt1392190,45428128,154280290,226156977,150000000
tt0112471,1423537,5535405,1026281,2500000
tt2278388,811166,59301324,115261956,25000000
tt2119532,15190758,67209615,113354021,40000000
tt0198781,62577067,290642256,289112013,115000000
tt2267998,37513109,167767189,203122897,61000000
tt0073195,7061513,266567580,210653000,7000000
tt0382932,47027395,206445654,417280431,150000000
tt0892769,43732319,217581231,277298240,165000000
tt1950186,31474958,117624357,107883853,97600000
tt3315342,88411916,226277068,392902882,97000000
tt0091763,241080,138530565,15067,6000000
tt0088247,4020663,38371200,40000000,6400000
tt0381681,219425,5820649,10679528,2700000
tt0325980,46630690,305413918,348850097,140000000
tt1979320,187289,26947624,70035385,38000000
tt0317705,70467623,261441092,370243558,92000000
tt0129167,5732614,23315035,21141,70000000
tt1454029,26044590,169708112,52094074,25000000
